MemTotal:       16319164 kB
MemFree:          825520 kB
Buffers:          559096 kB
Cached:          6327544 kB
SwapCached:           24 kB
Active:         10576832 kB
Inactive:        4017068 kB
Active(anon):    6866720 kB
Inactive(anon):   962136 kB
Active(file):    3710112 kB
Inactive(file):  3054932 kB
Unevictable:         144 kB
Mlocked:             144 kB
SwapTotal:      16661500 kB
SwapFree:       16661084 kB
Dirty:               436 kB
Writeback:             0 kB
AnonPages:       7707220 kB
Mapped:           424948 kB
Shmem:            121592 kB
Slab:             610592 kB
SReclaimable:     549736 kB
SUnreclaim:        60856 kB
KernelStack:       10304 kB
PageTables:        89664 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24821080 kB
Committed_AS:   14421116 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      496900 kB
VmallocChunk:   34359238268 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:      345052 kB
DirectMap2M:    15355904 kB
DirectMap1G:     1048576 kB
